city	state_code	country	state_name
Charmhaven	NSW	AU	New South Wales
Chatswood	NSW	AU	New South Wales
Chatswood West	NSW	AU	New South Wales
Cherrybrook	NSW	AU	New South Wales
Chester Hill	NSW	AU	New South Wales
Chifley	NSW	AU	New South Wales
Chinderah	NSW	AU	New South Wales
Chippendale	NSW	AU	New South Wales
Chipping Norton	NSW	AU	New South Wales
Chiswick	NSW	AU	New South Wales
Chittaway Bay	NSW	AU	New South Wales
City of Sydney	NSW	AU	New South Wales
Claremont Meadows	NSW	AU	New South Wales
Clarence Town	NSW	AU	New South Wales
Clarence Valley	NSW	AU	New South Wales
Claymore	NSW	AU	New South Wales
Clemton Park	NSW	AU	New South Wales
Clontarf	NSW	AU	New South Wales
Clovelly	NSW	AU	New South Wales
Coal Point	NSW	AU	New South Wales
Cobar	NSW	AU	New South Wales
Cobbitty	NSW	AU	New South Wales
Coffs Harbour	NSW	AU	New South Wales
Coleambally	NSW	AU	New South Wales
Colebee	NSW	AU	New South Wales
Coledale	NSW	AU	New South Wales
Collaroy	NSW	AU	New South Wales
Collaroy Plateau	NSW	AU	New South Wales
Colo Vale	NSW	AU	New South Wales
Colyton	NSW	AU	New South Wales
Como	NSW	AU	New South Wales
Concord	NSW	AU	New South Wales
Concord West	NSW	AU	New South Wales
Condell Park	NSW	AU	New South Wales
Condobolin	NSW	AU	New South Wales
Coniston	NSW	AU	New South Wales
Connells Point	NSW	AU	New South Wales
Constitution Hill	NSW	AU	New South Wales
Coogee	NSW	AU	New South Wales
Cooks Hill	NSW	AU	New South Wales
Coolah	NSW	AU	New South Wales
Coolamon	NSW	AU	New South Wales
Cooma	NSW	AU	New South Wales
Coonabarabran	NSW	AU	New South Wales
Coonamble	NSW	AU	New South Wales
Cooranbong	NSW	AU	New South Wales
Cootamundra	NSW	AU	New South Wales
Copacabana	NSW	AU	New South Wales
Coraki	NSW	AU	New South Wales
Cordeaux Heights	NSW	AU	New South Wales
Corindi Beach	NSW	AU	New South Wales
Corlette	NSW	AU	New South Wales
Corowa	NSW	AU	New South Wales
Corrimal	NSW	AU	New South Wales
Coutts Crossing	NSW	AU	New South Wales
Cowra	NSW	AU	New South Wales
Cranebrook	NSW	AU	New South Wales
Cremorne	NSW	AU	New South Wales
Cremorne Point	NSW	AU	New South Wales
Crescent Head	NSW	AU	New South Wales
Crestwood	NSW	AU	New South Wales
Cringila	NSW	AU	New South Wales
Cromer	NSW	AU	New South Wales
Cronulla	NSW	AU	New South Wales
Crookwell	NSW	AU	New South Wales
Crows Nest	NSW	AU	New South Wales
Croydon	NSW	AU	New South Wales
Culburra Beach	NSW	AU	New South Wales
Culcairn	NSW	AU	New South Wales
Cumbalum	NSW	AU	New South Wales
Cundletown	NSW	AU	New South Wales
Curl Curl	NSW	AU	New South Wales
Currans Hill	NSW	AU	New South Wales
Daceyville	NSW	AU	New South Wales
Dalmeny	NSW	AU	New South Wales
Dapto	NSW	AU	New South Wales
Darling Point	NSW	AU	New South Wales
Darlinghurst	NSW	AU	New South Wales
Darlington	NSW	AU	New South Wales
Darlington Point	NSW	AU	New South Wales
Davidson	NSW	AU	New South Wales
Davistown	NSW	AU	New South Wales
Dean Park	NSW	AU	New South Wales
Dee Why	NSW	AU	New South Wales
Denham Court	NSW	AU	New South Wales
Deniliquin	NSW	AU	New South Wales
Denistone	NSW	AU	New South Wales
Denistone East	NSW	AU	New South Wales
Denman	NSW	AU	New South Wales
Dharruk	NSW	AU	New South Wales
Dolls Point	NSW	AU	New South Wales
Doonside	NSW	AU	New South Wales
Dora Creek	NSW	AU	New South Wales
Dorrigo	NSW	AU	New South Wales
Double Bay	NSW	AU	New South Wales
Douglas Park	NSW	AU	New South Wales
Dover Heights	NSW	AU	New South Wales
Drummoyne	NSW	AU	New South Wales
Dubbo	NSW	AU	New South Wales
Dudley	NSW	AU	New South Wales
Dulwich Hill	NSW	AU	New South Wales
Dundas Valley	NSW	AU	New South Wales
Dunedoo	NSW	AU	New South Wales
Dungog	NSW	AU	New South Wales
Dural	NSW	AU	New South Wales
Eagle Vale	NSW	AU	New South Wales
Earlwood	NSW	AU	New South Wales
East Albury	NSW	AU	New South Wales
East Ballina	NSW	AU	New South Wales
East Branxton	NSW	AU	New South Wales
East Corrimal	NSW	AU	New South Wales
East Gosford	NSW	AU	New South Wales
East Hills	NSW	AU	New South Wales
East Jindabyne	NSW	AU	New South Wales
East Kempsey	NSW	AU	New South Wales
East Killara	NSW	AU	New South Wales
East Kurrajong	NSW	AU	New South Wales
East Lindfield	NSW	AU	New South Wales
East Lismore	NSW	AU	New South Wales
East Maitland	NSW	AU	New South Wales
East Ryde	NSW	AU	New South Wales
East Tamworth	NSW	AU	New South Wales
Eastlakes	NSW	AU	New South Wales
Eastwood	NSW	AU	New South Wales
Eden	NSW	AU	New South Wales
Edensor Park	NSW	AU	New South Wales
Edgecliff	NSW	AU	New South Wales
Edgeworth	NSW	AU	New South Wales
Edmondson Park	NSW	AU	New South Wales
Eglinton	NSW	AU	New South Wales
Elanora Heights	NSW	AU	New South Wales
Elderslie	NSW	AU	New South Wales
